,landmark,bbl,yearbuilt,yearalter1,yearalter2,histdist,xcoord,ycoord,Building Code,Lat,Lng,Rating,PRIMARY_BUILDING_CODE,BOROUGH_BLOCK_LOT
49,,3022360009,1975.0,0.0,0.0,,997086.0,194960.0,K380,40.70199789999999,-73.9535703,3.0,K380,3022360009
50,,3044490001,2010.0,2011.0,0.0,,1019192.0,178761.0,K422,40.6572453,-73.8740662,10.0,K422,3044490001
51,,3044490001,2010.0,2011.0,0.0,,1019192.0,178761.0,K422,40.6572453,-73.8740662,10.0,K422,3044490001
52,,3044490001,2010.0,2011.0,0.0,,1019192.0,178761.0,K422,40.6572453,-73.8740662,10.0,K422,3044490001
53,,1022150080,0.0,0.0,0.0,,1008326.0,258917.0,X475,40.8776412,-73.913386,6.0,X475,1022150080
54,,1022150080,0.0,0.0,0.0,,1008326.0,258917.0,X475,40.8776412,-73.913386,6.0,X475,1022150080
55,,1022150080,0.0,0.0,0.0,,1008326.0,258917.0,X475,40.8776412,-73.913386,6.0,X475,1022150080
56,,1022150080,0.0,0.0,0.0,,1008326.0,258917.0,X475,40.8776412,-73.913386,6.0,X475,1022150080
57,,1022150080,0.0,0.0,0.0,,1008326.0,258917.0,X475,40.8776412,-73.913386,6.0,X475,1022150080
58,,1022150080,0.0,0.0,0.0,,1008326.0,258917.0,X475,40.8776412,-73.913386,6.0,X475,1022150080
59,,1022150080,0.0,0.0,0.0,,1008326.0,258917.0,X475,40.8776412,-73.913386,6.0,X475,1022150080
60,,1007410010,1966.0,0.0,0.0,,983635.0,209793.0,M070,40.74250989999999,-74.0022418,9.0,M070,1007410010
61,,1007410010,1966.0,0.0,0.0,,983635.0,209793.0,M070,40.74250989999999,-74.0022418,9.0,M070,1007410010
62,,1007410010,1966.0,0.0,0.0,,983635.0,209793.0,M070,40.74250989999999,-74.0022418,9.0,M070,1007410010
63,,1011580040,1963.0,1984.0,0.0,,988562.0,222573.0,M199,40.7776219,-73.98456399999998,6.0,M199,1011580040
64,,4051470001,1972.0,0.0,0.0,,1033731.0,212396.0,Q237,40.749226,-73.82123109999998,6.0,Q237,4051470001
65,,4051470001,1972.0,0.0,0.0,,1033731.0,212396.0,Q237,40.749226,-73.82123109999998,6.0,Q237,4051470001
66,,4160390014,1924.0,0.0,0.0,,1041237.0,155884.0,Q042,40.594435,-73.7949455,8.0,Q042,4160390014
67,,4160390014,1924.0,0.0,0.0,,1041237.0,155884.0,Q042,40.594435,-73.7949455,8.0,Q042,4160390014
68,,1011540108,1927.0,1981.0,0.0,,987479.0,220758.0,M837,40.772611299999994,-73.988348,10.0,M837,1011540108
69,,4042290014,1940.0,2000.0,2010.0,,1027740.0,222773.0,Q029,40.7782016,-73.8427729,9.0,Q029,4042290014
70,,2027230033,2008.0,0.0,0.0,,1013875.0,238184.0,X392,40.8203827,-73.8930381,10.0,X392,2027230033
71,,2027230033,2008.0,0.0,0.0,,1013875.0,238184.0,X392,40.8203827,-73.8930381,10.0,X392,2027230033
72,,4054460018,1924.0,2000.0,0.0,,1039805.0,214540.0,Q107,40.755525799999994,-73.79924419999998,9.0,Q107,4054460018
73,,2046330040,1929.0,2001.0,0.0,,1022497.0,258154.0,X425,40.8751267,-73.86172459999999,9.0,X425,2046330040
74,,2046330040,1929.0,2001.0,0.0,,1022497.0,258154.0,X425,40.8751267,-73.86172459999999,9.0,X425,2046330040
75,,2046330040,1929.0,2001.0,0.0,,1022497.0,258154.0,X425,40.8751267,-73.86172459999999,9.0,X425,2046330040
76,,2046330040,1929.0,2001.0,0.0,,1022497.0,258154.0,X425,40.8751267,-73.86172459999999,9.0,X425,2046330040
77,,2046330040,1929.0,2001.0,0.0,,1022497.0,258154.0,X425,40.8751267,-73.86172459999999,9.0,X425,2046330040
78,,2046330040,1929.0,2001.0,0.0,,1022497.0,258154.0,X425,40.8751267,-73.86172459999999,9.0,X425,2046330040
79,,2046330040,1929.0,2001.0,0.0,,1022497.0,258154.0,X425,40.8751267,-73.86172459999999,9.0,X425,2046330040
80,,2046330040,1929.0,2001.0,0.0,,1022497.0,258154.0,X425,40.8751267,-73.86172459999999,9.0,X425,2046330040
81,,4068820001,1960.0,1997.0,0.0,,1041042.0,209264.0,Q430,40.7404652,-73.79360919999998,9.0,Q430,4068820001
82,,4068820001,1960.0,1997.0,0.0,,1041042.0,209264.0,Q430,40.7404652,-73.79360919999998,9.0,Q430,4068820001
83,INDIVIDUAL LANDMARK,5005060081,1898.0,2002.0,0.0,,962500.0,170154.0,R829,40.633739399999996,-74.07838670000001,9.0,R829,5005060081
84,,1012230005,1940.0,0.0,0.0,,992287.0,227593.0,M118,40.79125620000001,-73.97111109999999,9.0,M118,1012230005
85,,1012230005,1940.0,0.0,0.0,,992287.0,227593.0,M118,40.79125620000001,-73.97111109999999,9.0,M118,1012230005
86,,1012230005,1940.0,0.0,0.0,,992287.0,227593.0,M118,40.79125620000001,-73.97111109999999,9.0,M118,1012230005
87,,1019400035,1924.0,2002.0,0.0,,999667.0,236296.0,M970,40.815261,-73.9443103,10.0,M970,1019400035
88,,2059180376,1956.0,2001.0,0.0,,1008030.0,262757.0,X141,40.8877008,-73.91360499999998,3.0,X141,2059180376
89,,3022270001,1959.0,0.0,0.0,,997196.0,195765.0,K071,40.7039101,-73.95370809999999,8.0,K071,3022270001
90,,3022270001,1959.0,0.0,0.0,,997196.0,195765.0,K071,40.7039101,-73.95370809999999,8.0,K071,3022270001
91,,3022270001,1959.0,0.0,0.0,,997196.0,195765.0,K071,40.7039101,-73.95370809999999,8.0,K071,3022270001
92,,4014230001,1974.0,1994.0,0.0,,1018991.0,215326.0,Q227,40.757566,-73.874573,8.0,Q227,4014230001
93,,4014230001,1974.0,1994.0,0.0,,1018991.0,215326.0,Q227,40.757566,-73.874573,8.0,Q227,4014230001
94,,4014230057,2000.0,0.0,0.0,,1018894.0,215071.0,Q228,40.75701420000001,-73.87484719999998,10.0,Q228,4014230057
95,,3018450001,1960.0,2010.0,0.0,,999337.0,187722.0,K258,40.6820023,-73.94525859999999,8.0,K258,3018450001
96,,3018450001,1960.0,2010.0,0.0,,999337.0,187722.0,K258,40.6820023,-73.94525859999999,8.0,K258,3018450001
97,,3038230001,1973.0,0.0,0.0,,1013844.0,181233.0,K013,40.6637837,-73.89325869999998,1.0,K013,3038230001
98,,3038230001,1973.0,0.0,0.0,,1013844.0,181233.0,K013,40.6637837,-73.89325869999998,1.0,K013,3038230001
99,,4046470001,1931.0,0.0,0.0,,1034833.0,225764.0,Q079,40.785958799999996,-73.81734909999999,1.0,Q079,4046470001
100,,3021030004,1961.0,0.0,0.0,Fort Greene Historic District,992161.0,190205.0,K113,40.6885037,-73.97139990000001,6.0,K113,3021030004
101,,3021030004,1961.0,0.0,0.0,Fort Greene Historic District,992161.0,190205.0,K113,40.6885037,-73.97139990000001,6.0,K113,3021030004
102,,3021030004,1961.0,0.0,0.0,Fort Greene Historic District,992161.0,190205.0,K113,40.6885037,-73.97139990000001,6.0,K113,3021030004
103,,2027630279,1974.0,0.0,0.0,,1015996.0,236484.0,X074,40.81571470000001,-73.8853003,8.0,X074,2027630279
104,,2027630279,1974.0,0.0,0.0,,1015996.0,236484.0,X074,40.81571470000001,-73.8853003,8.0,X074,2027630279
105,,2027630279,1974.0,0.0,0.0,,1015996.0,236484.0,X074,40.81571470000001,-73.8853003,8.0,X074,2027630279
